名称,URL,速度(MB/s),分类
2003年,https://txmov2.a.kwimgs.com/upic/2023/01/14/23/BMjAyMzAxMTQyMzQxNDdfNDAzMDAxOTlfOTM2MTU0MTk1NDFfMF8z_b_B182749d2cd2ea9323639254af385f24b.mp4,16.225,其它
2003年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/14/23/BMjAyMzAxMTQyMzQxNDdfNDAzMDAxOTlfOTM2MTU0MTk1NDFfMF8z_b_B182749d2cd2ea9323639254af385f24b.mp4,18.837,其它
2004年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/21/BMjAyMzAxMTMyMTE4MzRfNDAzMDAxOTlfOTM1MDY4ODIxOTVfMF8z_b_B86c4430b82ff5a7f4e8132f6ee558536.mp4,38.680,其它
2005年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQyMzhfMF8z_b_B35ad7cc86aec8fc9e5ddfb31fc7bed63.mp4,20.023,其它
2006年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQyNzlfMF8z_b_Bbc3703fc331dc994c50859c19aad28ff.mp4,19.604,其它
2007年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQzMjNfMF8z_b_B00b069c7899976459ceeaa99353dfefe.mp4,22.640,其它
2008年,https://txmov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQzNTNfMF8z_b_Bd7346962e61bd7b84e11a1fa6e4616f9.mp4,17.554,其它
2009年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQzOTBfMF8z_b_B29a36a85e0277f6c2a1f033ef7c10708.mp4,31.084,其它
2010年,https://txmov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQ0MjlfMF8z_b_B8818807a00eed329a69fb494f405bd43.mp4,11.131,其它
2010年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQ0MjlfMF8z_b_B8818807a00eed329a69fb494f405bd43.mp4,22.153,其它
2011年,https://txmov2.a.kwimgs.com/upic/2023/01/16/11/BMjAyMzAxMTYxMTA3MjFfNDAzMDAxOTlfOTM3MjcyMjA3ODhfMF8z_b_B8214200efc869dc6fcf99dad619fa4c1.mp4,5.623,其它
20130928李豁子唱段.曲剧表演艺术家李天方演唱,http://gcw.bdcdn.shoujiduoduo.com/v/190304/951409acd26e4d06be3d1b6ea1bc4ad8.mp4,12.307,其它
2013年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQ1NjNfMF8z_b_B4fea55408dca4471a68a963ae096be59.mp4,22.988,其它
2014年,https://txmov2.a.kwimgs.com/upic/2023/01/06/16/BMjAyMzAxMDYxNjMxMTNfNDAzMDAxOTlfOTI4OTY2ODAzNjlfMF8z_b_Bdee65c77f9e7b2120a185c919dad81d2.mp4,6.487,其它
2014年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/06/16/BMjAyMzAxMDYxNjMxMTNfNDAzMDAxOTlfOTI4OTY2ODAzNjlfMF8z_b_Bdee65c77f9e7b2120a185c919dad81d2.mp4,16.894,其它
2015年,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQ2MTZfMF8z_b_B4851f43f5a2bc2871a9b0ec87294a6e7.mp4,18.260,其它
2017年,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQ2NDhfMF8z_b_B6527b0c2ce3dda1d9b3f34edd4fdb9aa.mp4,15.787,其它
2018年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/06/16/BMjAyMzAxMDYxNjMxMTRfNDAzMDAxOTlfOTI4OTY2ODE2MTBfMF8z_b_B11a778e34390a21de42d407e94f45b91.mp4,19.635,其它
2019年,https://txmov2.a.kwimgs.com/upic/2023/01/06/16/BMjAyMzAxMDYxNjMxMTRfNDAzMDAxOTlfOTI4OTY2ODE2MTBfMF8z_b_B11a778e34390a21de42d407e94f45b91.mp4,5.975,其它
2020年,https://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzA5NDdfNDAzMDAxOTlfNjYxNzQ2MDAyMTFfMF8z_b_B5d51d9564c5670dc66faeba20aa7af3f.mp4,8.088,其它
2020年,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzA5NDdfNDAzMDAxOTlfNjYxNzQ2MDAyMTFfMF8z_b_B5d51d9564c5670dc66faeba20aa7af3f.mp4,8.295,其它
2021《精选5首酒吧DJ舞曲》,https://vdse.bdstatic.com//0e59c29ddbc68ed60dce8a6f4631c1f1.mp4,3.166,其它
2021一夜火爆几首DJ舞曲,https://vdse.bdstatic.com//1fc9fd16e02ca272bb81666b85bf4135.mp4,2.145,其它
2021年,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzE4NTJfNDAzMDAxOTlfNjYxNzUzOTg3NjlfMF8z_b_Be41d9503181d7b0608a839ed401e02c2.mp4,13.991,其它
2021年,https://alimov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzE4NTJfNDAzMDAxOTlfNjYxNzUzOTg3NjlfMF8z_b_Be41d9503181d7b0608a839ed401e02c2.mp4,14.823,其它
2021年最火伤感音乐,https://vdse.bdstatic.com//6d39df48360bdb12f73800397c4a6c02.mp4,2.723,其它
2021年网络火爆伤感情歌6首,https://vdse.bdstatic.com//80e0473f97055cec1c9c76c1c7e5498a.mp4,2.619,其它
2021酒吧夜店经典中文车载劲爆DJ舞曲大串烧FHD,https://vdse.bdstatic.com//f222c3fafbcc09db6f39991e5c982450.mp4,4.098,其它
2022几首DJ串烧,https://vd3.bdstatic.com/mda-nck3tqzgjvj076vc/sc/cae_h264_delogo/1647833645083560959/mda-nck3tqzgjvj076vc.mp4,2.550,其它
2022年,http://txmov2.a.kwimgs.com/upic/2022/02/01/11/BMjAyMjAyMDExMTEwMjNfNDAzMDAxOTlfNjYzNzA4MTk4NzNfMF8z_b_B898cc7ddd0025bf54ddb18ec1f723c84.mp4,30.694,其它
2022年,https://txmov2.a.kwimgs.com/upic/2022/02/01/11/BMjAyMjAyMDExMTEwMjNfNDAzMDAxOTlfNjYzNzA4MTk4NzNfMF8z_b_B898cc7ddd0025bf54ddb18ec1f723c84.mp4,29.710,其它
20240113期,https://vod.v.jstv.com/2024/01/14/JSTV_JSWSNEW_1705169595131_Q3oteam_1584.mp4,4.298,其它
20240120期,https://vod.v.jstv.com/2024/01/20/JSTV_JSWSNEW_1705759272380_OdtlS19_125.mp4,2.993,其它
20240127期,https://vod.v.jstv.com/2024/01/27/JSTV_JSWSNEW_1706364451679_zbLgA98_1886.mp4,3.353,其它
20240203期,https://vod.v.jstv.com/2024/02/03/JSTV_JSWSNEW_1706970149015_RkGBvWs_1308.mp4,7.094,其它
20240217期,https://vod.v.jstv.com/2024/02/17/JSTV_JSWSNEW_1708178319212_KP8v4gZ_1449.mp4,7.916,其它
20240302期,https://vod.v.jstv.com/2024/03/02/JSTV_JSWSNEW_1709387282471_dbupc47_1255.mp4,3.810,其它
20240316期,https://vod.v.jstv.com/2024/03/16/JSTV_JSWSNEW_1710596916214_hRcT7CH_133.mp4,3.754,其它
20240323期,https://vod.v.jstv.com/2024/03/23/JSTV_JSWSNEW_1711201870712_ibp5B90_1872.mp4,2.531,其它
20240330期,https://vod.v.jstv.com/2024/03/30/JSTV_JSWSNEW_1711806027142_MwvWggy_222.mp4,5.355,其它
20240406期,https://vod.v.jstv.com/2024/04/07/JSTV_JSWSNEW_1712421638143_AnD3Ozz_2496.mp4,2.795,其它
20240413期,https://vod.v.jstv.com/2024/04/13/JSTV_JSWSNEW_1713016038492_qA6ogGP_2369.mp4,5.101,其它
20240420期,https://vod.v.jstv.com/2024/04/20/JSTV_JSWSNEW_1713621331704_OTpvaQ9_2175.mp4,3.302,其它
20240427期,https://vod.v.jstv.com/2024/04/27/JSTV_JSWSNEW_1714226736279_62to9tJ_294.mp4,4.729,其它
20240504期,https://vod.v.jstv.com/2024/05/05/JSTV_JSWSNEW_1714840119505_pOXr98G_2923.mp4,2.785,其它
20240511期,https://vod.v.jstv.com/2024/05/11/JSTV_JSWSNEW_1715436008579_VR407hZ_261.mp4,2.817,其它
20240518期,https://vod.v.jstv.com/2024/05/18/JSTV_JSWSNEW_1716041061402_O1Q3aQ8_2109.mp4,4.635,其它
20240525期,https://vod.v.jstv.com/2024/05/25/JSTV_JSWSNEW_1716644959278_4Q0d6Cr_2175.mp4,4.474,其它
20240601期,https://vod.v.jstv.com/2024/06/01/JSTV_JSWSNEW_1717255590003_ev8xfk9_2576.mp4,4.431,其它
20240608期,https://vod.v.jstv.com/2024/06/08/JSTV_JSWSNEW_1717855327034_QH3wmLd_2430.mp4,5.652,其它
20240615期,https://vod.v.jstv.com/2024/06/15/JSTV_JSWSNEW_1718460585473_9nHK55B_2784.mp4,4.115,其它
20240622期,https://vod.v.jstv.com/2024/06/22/JSTV_JSWSNEW_1719064111168_fb35YyC_2420.mp4,3.448,其它
20240629期,https://vod.v.jstv.com/2024/06/30/JSTV_JSWSNEW_1719677463969_yyK75Dq_2757.mp4,7.265,其它
20240706期,https://vod.v.jstv.com/2024/07/06/JSTV_JSWSNEW_1720274726976_a8X8pXt_2324.mp4,2.316,其它
20240713期,https://vod.v.jstv.com/2024/07/13/JSTV_JSWSNEW_1720881982562_O7moj6v_2654.mp4,6.124,其它
20240720期,https://vod.v.jstv.com/2024/07/20/JSTV_JSWSNEW_1721483732633_1xk4tEF_2517.mp4,6.968,其它
20240727期,https://vod.v.jstv.com/2024/07/28/JSTV_JSWSNEW_1722096881620_88t96fB_2377.mp4,5.394,其它
20240803期,https://vod.v.jstv.com/2024/08/03/JSTV_JSWSNEW_1722693060312_1Pb0GY4_2467.mp4,2.981,其它
20240810期,https://vod.v.jstv.com/2024/08/10/JSTV_JSWSNEW_1723298430856_34VX558_2473.mp4,3.789,其它
20240817期,https://vod.v.jstv.com/2024/08/17/JSTV_JSWSNEW_1723903373373_tQUi3J4_2854.mp4,2.668,其它
20240824期,https://vod.v.jstv.com/2024/08/25/JSTV_JSWSNEW_1724525006153_tWDF8sP_2124.mp4,6.462,其它
20240831期,https://vod.v.jstv.com/2024/08/31/JSTV_JSWSNEW_1725111972431_yvX0a98_2918.mp4,4.991,其它
20240907期,https://vod.v.jstv.com/2024/09/07/JSTV_JSWSNEW_1725717931431_Owcs60G_225.mp4,3.291,其它
20240914期,https://vod.v.jstv.com/2024/09/14/JSTV_JSWSNEW_1726323084735_J2NE0mI_2612.mp4,6.169,其它
20240928期,https://vod.v.jstv.com/2024/09/28/JSTV_JSWSNEW_1727531598255_tMyfIEy_2588.mp4,5.772,其它
20241005期,https://vod.v.jstv.com/2024/10/05/JSTV_JSWSNEW_1728136393888_gyy4ZoB_2521.mp4,2.646,其它
20241012期,https://vod.v.jstv.com/2024/10/12/JSTV_JSWSNEW_1728741251675_FBKYfaG_2864.mp4,5.278,其它
20241019期,https://vod.v.jstv.com/2024/10/20/JSTV_JSWSNEW_1729363994321_OLkH6QC_2306.mp4,5.187,其它
20241026期,https://vod.v.jstv.com/2024/10/26/JSTV_JSWSNEW_1729951111863_8d4Jrja_2694.mp4,4.830,其它
20241102期,https://vod.v.jstv.com/2024/11/02/JSTV_JSWSNEW_1730556380801_dPBlao0_2219.mp4,5.249,其它
20241109期,https://vod.v.jstv.com/2024/11/09/JSTV_JSWSNEW_1731160434016_6EjM23f_2980.mp4,2.178,其它
20241116期,https://vod.v.jstv.com/2024/11/17/JSTV_JSWSNEW_1731775222067_3fVR80e_2524.mp4,5.343,其它
20241123期,https://vod.v.jstv.com/2024/11/23/JSTV_JSWSNEW_1732369733874_XTevlwH_2629.mp4,6.799,其它
20241130期,https://vod.v.jstv.com/2024/11/30/JSTV_JSWSNEW_1732974931062_3PC8zJ4_216.mp4,3.226,其它
20241207期,https://vod.v.jstv.com/2024/12/07/JSTV_JSWSNEW_1733580280267_S2uHRfa_2262.mp4,6.907,其它
20241214期,https://vod.v.jstv.com/2024/12/14/JSTV_JSWSNEW_1734186101028_5Rj3rZ8_2671.mp4,6.271,其它
20241221期,https://vod.v.jstv.com/2024/12/21/JSTV_JSWSNEW_1734789548263_7gCE3vi_2333.mp4,4.452,其它
20241228期,https://vod.v.jstv.com/2024/12/28/JSTV_JSWSNEW_1735394884781_k2e7IYL_2238.mp4,2.618,其它
2025-03-03,https://gitlab.com/lr77/IPTV/-/raw/main/%E8%B5%B7%E9%A3%8E%E4%BA%86.mp4,5.679,其它
20250104期,https://vod.v.jstv.com/2025/01/04/JSTV_JSWSNEW_1735999470061_QpnPlh8_2528.mp4,2.495,其它
20250111期,https://vod.v.jstv.com/2025/01/11/JSTV_JSWSNEW_1736604684080_fX7Zvtv_2355.mp4,5.723,其它
20250118期,https://vod.v.jstv.com/2025/01/18/JSTV_JSWSNEW_1737208693360_Juy9kqo_2967.mp4,2.472,其它
20250125期,https://vod.v.jstv.com/2025/01/25/JSTV_JSWSNEW_1737813780362_g6PJqY8_262.mp4,4.566,其它
20250201期,https://vod.v.jstv.com/2025/02/01/JSTV_JSWSNEW_1738419228799_GBjMboj_2178.mp4,5.269,其它
20250208期,https://vod.v.jstv.com/2025/02/08/JSTV_JSWSNEW_1739024522778_vz3xU85_2346.mp4,4.061,其它
20250215期,https://videos.jstv.com/video/2025/02/15/202502152209401739628580366_561_21.mp4,17.113,其它
20250222期,https://videos.jstv.com/video/2025/02/22/202502222222361740234156694_536_21.mp4,18.709,其它
20250301期,https://videos.jstv.com/video/2025/03/01/202503012211231740838283442_800_21.mp4,29.130,其它
20250308期,https://videos.jstv.com/video/2025/03/09/202503090041411741452101288_434_21.mp4,10.733,其它
20250315期,https://videos.jstv.com/video/2025/03/15/202503152206201742047580137_759_21.mp4,10.467,其它
20250322期,https://videos.jstv.com/video/2025/03/22/202503222153451742651625736_660_21.mp4,10.345,其它
20250329期,https://videos.jstv.com/video/2025/03/29/202503292202231743256943411_961_21.mp4,16.980,其它
20250405期,https://videos.jstv.com/video/2025/04/05/202504052210491743862249861_398_21.mp4,6.887,其它
20250412期,https://videos.jstv.com/video/2025/04/12/202504122208261744466906180_991_21.mp4,7.958,其它
20250419期,https://videos.jstv.com/video/2025/04/19/202504192154551745070895217_985_21.mp4,5.477,其它
20250426期,https://videos.jstv.com/video/2025/04/26/202504262157431745675863941_442_21.mp4,4.375,其它
20250503期,https://videos.jstv.com/video/2025/05/04/202505040025371746289537441_356_21.mp4,17.303,其它
20250510期,https://videos.jstv.com/video/2025/05/10/202505102148041746884884608_327_21.mp4,17.728,其它
20250517期,https://videos.jstv.com/video/2025/05/17/202505172205241747490724365_758_21.mp4,16.267,其它
20250524期,https://vod.v.jstv.com/2025/05/24/JSTV_JSWSNEW_1748099045103_w7FKp6N_2138.mp4,2.311,其它
20250531期,https://videos.jstv.com/video/2025/06/01/202506010009131748707753148_917_21.mp4,16.861,其它
20250607期,https://videos.jstv.com/video/2025/06/07/202506072205451749305145755_819_21.mp4,17.390,其它
20250614期,https://videos.jstv.com/video/2025/06/14/202506142150381749909038010_338_21.mp4,3.228,其它
20250621期,https://videos.jstv.com/video/2025/06/21/202506212244301750517070744_611_21.mp4,11.851,其它
20250628期,https://videos.jstv.com/video/2025/06/28/202506282355231751126123727_922_21.mp4,31.453,其它
20250712期,https://videos.jstv.com/video/2025/07/12/202507122156591752328619989_903_21.mp4,5.437,其它
20250719期,https://videos.jstv.com/video/2025/07/19/202507192319411752938381871_603_21.mp4,23.700,其它
20250726期,https://videos.jstv.com/video/2025/07/27/202507270128051753550885850_913_21.mp4,4.052,其它
20250802期,https://videos.jstv.com/video/2025/08/02/202508022327571754148477677_904_21.mp4,20.976,其它
20250809期,https://videos.jstv.com/video/2025/08/09/202508092201191754748079595_585_21.mp4,27.644,其它
20250816期,https://videos.jstv.com/video/2025/08/16/202508162320141755357614968_438_21.mp4,4.794,其它
20250823期,https://videos.jstv.com/video/2025/08/24/202508240044281755967468519_176_21.mp4,5.673,其它
20250830期,https://videos.jstv.com/video/2025/08/30/202508302316351756566995559_265_21.mp4,4.548,其它
20250906期,https://videos.jstv.com/video/2025/09/06/202509062320311757172031591_217_21.mp4,4.982,其它
20250913期,https://videos.jstv.com/video/2025/09/13/202509132312151757776335131_100_21.mp4,4.120,其它
20250920期,https://videos.jstv.com/video/2025/09/20/202509202321031758381663046_497_21.mp4,4.738,其它
20250927期,https://videos.jstv.com/video/2025/09/27/202509272344311758987871532_909_21.mp4,6.360,其它
20251004期①,https://videos.jstv.com/video/2025/10/05/202510050740481759621248357_329_21.mp4,4.778,其它
20251004期②,https://videos.jstv.com/video/2025/10/05/202510050741271759621287385_924_21.mp4,23.087,其它
20251004期③,https://videos.jstv.com/video/2025/10/05/202510050742071759621327650_665_21.mp4,4.147,其它
20251011期①,https://videos.jstv.com/video/2025/10/11/202510112209051760191745433_474_21.mp4,36.093,其它
20251011期②,https://videos.jstv.com/video/2025/10/11/202510112210091760191809835_259_21.mp4,4.875,其它
20251011期③,https://videos.jstv.com/video/2025/10/11/202510112211541760191914382_446_21.mp4,4.128,其它
20251018期①,https://videos.jstv.com/video/2025/10/18/202510182331511760801511405_302_21.mp4,4.944,其它
