名称,URL,分类,速度(MB/s),是否白名单
1,https://www.goodiptv.club/douyu/4549169,其它,0.000,False
1,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200f2e0000c168k29lbce321ps0e30&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname,其它,0.000,False
10,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000capcotrc77u4a2lm3j2g&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname,其它,0.000,False
11,https://www.goodiptv.club/douyu/74374,其它,0.000,False
11,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cmog71bc77u0ct76qgu0&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname,其它,0.000,False
12,https://www.goodiptv.club/douyu/12817608,其它,0.000,False
12,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000ca70strc77u4d69n89t0&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname,其它,0.000,False
12 канал (1080p),https://12channel.bonus-tv.ru/cdn/12channel/playlist.m3u8,其它 高清/HD（158条） ,0.000,False
13,https://www.goodiptv.club/douyu/12816797,其它,0.000,False
13,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000cij3l0jc77u3icn4a5f0&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname,其它,0.000,False
133爆谷台,http://208.87.242.79/livehttpplay?channel_id=13002$IPV4,其它,0.000,False
14,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000c53lp4jc77ucg5itrtgg&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname,其它,0.000,False
14 ZEE LIVING HD,http://nor2live.win:80/livehttpplay?channel_id=23207,其它,0.000,False
15,https://www.goodiptv.club/douyu/3439096,其它,0.000,False
15,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300f310000bqai155omciggqmbjs10&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname,其它,0.000,False
16,https://www.goodiptv.club/douyu/5908256,其它,0.000,False
16,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cagpgsbc77uaabt95s40&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname,其它,0.000,False
18,https://www.goodiptv.club/douyu/922564,其它,0.000,False
18,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cea1cmjc77u6oags3i6g&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname,其它,0.000,False
19,https://www.goodiptv.club/douyu/5875025,其它,0.000,False
19,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cj574fjc77u6kmde8830&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname,其它,0.000,False
1905电影网1080p,http://php.jdshipin.com:8880/1905.php?id=1905dy,其它 SD（412条）,0.000,False
1905电影网1080p,http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905,其它 SD（412条）,0.000,False
1905电影网1080p,http://php.jdshipin.com/1905.php,其它 SD（412条）,0.000,False
1905电影网怀旧360p,http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905b,其它 SD（412条）,0.000,False
1905电影网怀旧360p,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=8ofuVF&tk=inWducl7RAaR,其它 SD（412条）,0.000,False
1930年代经典电影,https://live.ottiptv.cc/yy/1356363815,其它,0.000,False
19:30北京首钢园🆚辽宁大连体产,http://rihou.cc:555/tv/v,其它,0.000,False
1本道_1,https://vip4.ddyunbo.com/20210210/IjSENz6s/index.m3u8,其它,0.000,False
1本道_10,https://vip4.ddyunbo.com/20210202/jnSPf5L7/index.m3u8,其它,0.000,False
1本道_101,https://vip4.ddyunbo.com/20190801/68w4hmaH/index.m3u8,其它,0.000,False
1本道_102,https://vip4.ddyunbo.com/20191203/AdOtik4n/index.m3u8,其它,0.000,False
1本道_105,https://vip4.ddyunbo.com/20191203/lrQfHler/index.m3u8,其它,0.000,False
1本道_106,https://vip4.ddyunbo.com/20191203/5E24xFQu/index.m3u8,其它,0.000,False
1本道_107,https://vip4.ddyunbo.com/20191206/wElIhu09/index.m3u8,其它,0.000,False
1本道_109,https://vip4.ddyunbo.com/20191130/5D8rho9Y/index.m3u8,其它,0.000,False
1本道_11,https://vip4.ddyunbo.com/20210202/6wLYbWPq/index.m3u8,其它,0.000,False
1本道_110,https://vip4.ddyunbo.com/20191125/b7iK6Oay/index.m3u8,其它,0.000,False
1本道_111,https://vip4.ddyunbo.com/20191118/pa08NZI8/index.m3u8,其它,0.000,False
1本道_113,https://vip4.ddyunbo.com/20191208/YoOOpIoB/index.m3u8,其它,0.000,False
1本道_114,https://vip4.ddyunbo.com/20191206/KlOfpmXm/index.m3u8,其它,0.000,False
1本道_115,https://vip4.ddyunbo.com/20191128/bhlfixkB/index.m3u8,其它,0.000,False
1本道_118,https://vip4.ddyunbo.com/20191020/HFA1EICB/index.m3u8,其它,0.000,False
1本道_119,https://vip4.ddyunbo.com/20190725/QoR2tEMa/index.m3u8,其它,0.000,False
1本道_12,https://vip4.ddyunbo.com/20190904/HqGckgKl/index.m3u8,其它,0.000,False
1本道_123,https://vip4.ddyunbo.com/20191206/beXglix7/index.m3u8,其它,0.000,False
1本道_13,https://vip4.ddyunbo.com/20190904/m94xaoPh/index.m3u8,其它,0.000,False
1本道_134,https://vip4.ddyunbo.com/20190712/AWmTfG0V/index.m3u8,其它,0.000,False
1本道_137,https://vip4.ddyunbo.com/20191205/ZhyfTfzD/index.m3u8,其它,0.000,False
1本道_138,https://vip4.ddyunbo.com/20191209/Cg46YFFD/index.m3u8,其它,0.000,False
1本道_14,https://vip4.ddyunbo.com/20190908/1oZ5V2g2/index.m3u8,其它,0.000,False
1本道_140,https://vip4.ddyunbo.com/20191206/D2NceISA/index.m3u8,其它,0.000,False
1本道_141,https://vip4.ddyunbo.com/20190703/TS1mxp2x/index.m3u8,其它,0.000,False
1本道_142,https://vip4.ddyunbo.com/20191127/28kOylU9/index.m3u8,其它,0.000,False
1本道_143,https://vip4.ddyunbo.com/20190924/1r6n6c3u/index.m3u8,其它,0.000,False
1本道_144,https://vip4.ddyunbo.com/20191201/8UTueLDg/index.m3u8,其它,0.000,False
1本道_146,https://vip4.ddyunbo.com/20191109/7zPRNKbZ/index.m3u8,其它,0.000,False
1本道_147,https://vip4.ddyunbo.com/20191208/0gSaR7IX/index.m3u8,其它,0.000,False
1本道_149,https://vip4.ddyunbo.com/20191108/iI37Slwz/index.m3u8,其它,0.000,False
1本道_15,https://vip4.ddyunbo.com/20190904/wJoZlwtT/index.m3u8,其它,0.000,False
1本道_151,https://vip4.ddyunbo.com/20191206/DRjLLulI/index.m3u8,其它,0.000,False
1本道_152,https://vip4.ddyunbo.com/20191208/F59kEATh/index.m3u8,其它,0.000,False
1本道_153,https://vip4.ddyunbo.com/20191205/u11PSJcw/index.m3u8,其它,0.000,False
1本道_154,https://vip4.ddyunbo.com/20191203/PldaO4lb/index.m3u8,其它,0.000,False
1本道_155,https://vip4.ddyunbo.com/20191206/AYu0BDSt/index.m3u8,其它,0.000,False
1本道_156,https://vip4.ddyunbo.com/20191211/M3q09qGG/index.m3u8,其它,0.000,False
1本道_16,https://vip4.ddyunbo.com/20190904/ZnGN7sEl/index.m3u8,其它,0.000,False
1本道_163,https://vip4.ddyunbo.com/20191121/5fNyVOF0/index.m3u8,其它,0.000,False
1本道_164,https://vip4.ddyunbo.com/20191120/c3IW5efi/index.m3u8,其它,0.000,False
1本道_173,https://vip4.ddyunbo.com/20191201/XJwjwidw/index.m3u8,其它,0.000,False
1本道_175,https://vip4.ddyunbo.com/20190918/dW0J9fzv/index.m3u8,其它,0.000,False
1本道_176,https://vip4.ddyunbo.com/20191125/vpMcTD6O/index.m3u8,其它,0.000,False
1本道_18,https://vip4.ddyunbo.com/20190908/ETghLd5D/index.m3u8,其它,0.000,False
1本道_182,https://vip4.ddyunbo.com/20191203/nYjY9u2u/index.m3u8,其它,0.000,False
1本道_186,https://vip4.ddyunbo.com/20191110/7bbcTr2N/index.m3u8,其它,0.000,False
1本道_187,https://vip4.ddyunbo.com/20191127/65PpXoMw/index.m3u8,其它,0.000,False
1本道_197,https://vip4.ddyunbo.com/20190924/cJ5trNUQ/index.m3u8,其它,0.000,False
1本道_2,https://vip4.ddyunbo.com/20210209/dEzJjeSU/index.m3u8,其它,0.000,False
1本道_20,https://vip4.ddyunbo.com/20190908/zSd2DI9R/index.m3u8,其它,0.000,False
1本道_202,https://vip4.ddyunbo.com/20191203/52ec89LM/index.m3u8,其它,0.000,False
1本道_207,https://vip4.ddyunbo.com/20191206/KcxaHKNK/index.m3u8,其它,0.000,False
1本道_208,https://vip4.ddyunbo.com/20191130/aACNUDUx/index.m3u8,其它,0.000,False
1本道_211,https://vip4.ddyunbo.com/20191110/NwogQedH/index.m3u8,其它,0.000,False
1本道_219,https://vip4.ddyunbo.com/20191201/Lwlr3Bkj/index.m3u8,其它,0.000,False
1本道_227,https://vip4.ddyunbo.com/20191201/K4Kv3dAa/index.m3u8,其它,0.000,False
1本道_234,https://vip4.ddyunbo.com/20191212/HePcXP5K/index.m3u8,其它,0.000,False
1本道_242,https://vip4.ddyunbo.com/20191203/eBg5Mcqa/index.m3u8,其它,0.000,False
1本道_243,https://vip4.ddyunbo.com/20191028/bnoZp1dl/index.m3u8,其它,0.000,False
1本道_249,https://vip4.ddyunbo.com/20191102/E6lR5iaR/index.m3u8,其它,0.000,False
1本道_261,https://vip4.ddyunbo.com/20190729/aN7GcbnY/index.m3u8,其它,0.000,False
1本道_264,https://vip4.ddyunbo.com/20191201/YEg5oWil/index.m3u8,其它,0.000,False
1本道_268,https://vip4.ddyunbo.com/20191208/BS0JwI5Z/index.m3u8,其它,0.000,False
1本道_274,https://vip4.ddyunbo.com/20191102/thRqkr3J/index.m3u8,其它,0.000,False
1本道_275,https://vip4.ddyunbo.com/20191008/ONnuL7h3/index.m3u8,其它,0.000,False
1本道_276,https://vip4.ddyunbo.com/20190904/f9ADZ1CY/index.m3u8,其它,0.000,False
1本道_277,https://vip4.ddyunbo.com/20190904/UfqniQi1/index.m3u8,其它,0.000,False
1本道_278,https://vip4.ddyunbo.com/20191211/FFE0h29v/index.m3u8,其它,0.000,False
1本道_280,https://vip4.ddyunbo.com/20191121/VmpUGI2G/index.m3u8,其它,0.000,False
1本道_281,https://vip4.ddyunbo.com/20190909/jRVMH9sc/index.m3u8,其它,0.000,False
1本道_3,https://vip4.ddyunbo.com/20210208/6LaKp6lZ/index.m3u8,其它,0.000,False
1本道_301,https://vip4.ddyunbo.com/20191213/J6Cv9gPJ/index.m3u8,其它,0.000,False
1本道_305,https://vip4.ddyunbo.com/20191128/dkDIOfQC/index.m3u8,其它,0.000,False
1本道_306,https://vip4.ddyunbo.com/20191130/c6PcG5MJ/index.m3u8,其它,0.000,False
1本道_309,https://vip4.ddyunbo.com/20191111/DlyNFtz9/index.m3u8,其它,0.000,False
1本道_310,https://vip4.ddyunbo.com/20191106/yFE2T1bI/index.m3u8,其它,0.000,False
1本道_311,https://vip4.ddyunbo.com/20191128/0UFCYn1m/index.m3u8,其它,0.000,False
1本道_313,https://vip4.ddyunbo.com/20191208/2uX0tXFP/index.m3u8,其它,0.000,False
1本道_314,https://vip4.ddyunbo.com/20191112/xgfe7yP7/index.m3u8,其它,0.000,False
1本道_315,https://vip4.ddyunbo.com/20191204/vbdhMyr9/index.m3u8,其它,0.000,False
1本道_317,https://vip4.ddyunbo.com/20191211/mKHj4MjF/index.m3u8,其它,0.000,False
1本道_34,https://vip4.ddyunbo.com/20191007/IFlq5eON/index.m3u8,其它,0.000,False
1本道_36,https://vip4.ddyunbo.com/20190907/PH1oGegu/index.m3u8,其它,0.000,False
1本道_37,https://vip4.ddyunbo.com/20191206/aIGd1S2S/index.m3u8,其它,0.000,False
1本道_39,https://vip4.ddyunbo.com/20191209/eOWqpnjK/index.m3u8,其它,0.000,False
1本道_396,https://vip4.ddyunbo.com/20210210/IjSENz6s/index.m3u8?skipl=1,其它,0.000,False
1本道_4,https://vip4.ddyunbo.com/20210208/uWwFdRB7/index.m3u8,其它,0.000,False
1本道_40,https://vip4.ddyunbo.com/20191203/kT2Rfcof/index.m3u8,其它,0.000,False
1本道_404,https://vip4.ddyunbo.com/20210202/cOf9FXgF/index.m3u8?skipl=1,其它,0.000,False
1本道_405,https://vip4.ddyunbo.com/20210202/jnSPf5L7/index.m3u8?skipl=1,其它,0.000,False
1本道_41,https://vip4.ddyunbo.com/20191203/eKcaCDs1/index.m3u8,其它,0.000,False
1本道_42,https://vip4.ddyunbo.com/20191204/jouQzYVh/index.m3u8,其它,0.000,False
1本道_43,https://vip4.ddyunbo.com/20190824/InhHOPJz/index.m3u8,其它,0.000,False
1本道_44,https://vip4.ddyunbo.com/20191201/yKe6LATy/index.m3u8,其它,0.000,False
1本道_46,https://vip4.ddyunbo.com/20191104/NAZTGvOC/index.m3u8,其它,0.000,False
1本道_47,https://vip4.ddyunbo.com/20190724/fpVllSSA/index.m3u8,其它,0.000,False
1本道_48,https://vip4.ddyunbo.com/20191115/nz0OLAD7/index.m3u8,其它,0.000,False
1本道_5,https://vip4.ddyunbo.com/20210208/EZRbwZn4/index.m3u8,其它,0.000,False
1本道_50,https://vip4.ddyunbo.com/20191111/YQ1Jvlo7/index.m3u8,其它,0.000,False
1本道_51,https://vip4.ddyunbo.com/20191203/mXPJeA8L/index.m3u8,其它,0.000,False
1本道_54,https://vip4.ddyunbo.com/20191211/EmnFBcTv/index.m3u8,其它,0.000,False
1本道_56,https://vip4.ddyunbo.com/20191207/3l1NKbd9/index.m3u8,其它,0.000,False
1本道_58,https://vip4.ddyunbo.com/20191121/NoBsuuFA/index.m3u8,其它,0.000,False
1本道_6,https://vip4.ddyunbo.com/20210207/Lyhqjp3z/index.m3u8,其它,0.000,False
1本道_7,https://vip4.ddyunbo.com/20210203/DYtc79vE/index.m3u8,其它,0.000,False
1本道_71,https://vip4.ddyunbo.com/20191128/J5nWdwcz/index.m3u8,其它,0.000,False
1本道_77,https://vip4.ddyunbo.com/20191104/5Br1zP28/index.m3u8,其它,0.000,False
1本道_8,https://vip4.ddyunbo.com/20210202/cy0urBhD/index.m3u8,其它,0.000,False
1本道_80,https://vip4.ddyunbo.com/20191205/0oLr2jlQ/index.m3u8,其它,0.000,False
1本道_81,https://vip4.ddyunbo.com/20191110/Z3mWJbrz/index.m3u8,其它,0.000,False
1本道_82,https://vip4.ddyunbo.com/20190724/SRcabvNZ/index.m3u8,其它,0.000,False
1本道_83,https://vip4.ddyunbo.com/20191127/52rP822O/index.m3u8,其它,0.000,False
1本道_84,https://vip4.ddyunbo.com/20191207/p0zvtDBY/index.m3u8,其它,0.000,False
1本道_85,https://vip4.ddyunbo.com/20191208/dw94ieYl/index.m3u8.,其它,0.000,False
1本道_87,https://vip4.ddyunbo.com/20191210/tyN6I80q/index.m3u8,其它,0.000,False
1本道_88,https://vip4.ddyunbo.com/20191122/QMk66MvN/index.m3u8,其它,0.000,False
1本道_89,https://vip4.ddyunbo.com/20191206/trGVPzmt/index.m3u8,其它,0.000,False
1本道_9,https://vip4.ddyunbo.com/20210202/cOf9FXgF/index.m3u8,其它,0.000,False
1本道_90,https://vip4.ddyunbo.com/20191010/xcMAZOOw/index.m3u8,其它,0.000,False
1本道_91,https://vip4.ddyunbo.com/20191207/tBB5RkgE/index.m3u8,其它,0.000,False
2,https://www.goodiptv.club/douyu/431460,其它,0.000,False
2,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000ckhor8rc77udh8cjbnng&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname,其它,0.000,False
20,https://www.goodiptv.club/douyu/299854,其它,0.000,False
20250509 09:21:46,https://gitee.com/kabigo/tv/raw/master/assets/about1080p.mp4,其它,0.000,False
2025东方卫视春晚,https://v.cdnlz21.com/20250130/5033_1ab50b18/index.m3u8,卫视 SD（632条） ,0.000,False
2025大湾区电影音乐晚会,https://vip.dytt-kan.com/20251002/7177_2723ad49/index.m3u8,其它 SD（412条） ,0.000,False
2025央视春晚,https://svipsvip.ffzyread1.com/20250129/35458_c988286f/index.m3u8,央视 SD（499条） ,0.000,False
2025央视网络春晚,https://v.cdnlz21.com/20250122/4691_6738b628/index.m3u8,央视 SD（499条） ,0.000,False
2026-04-07,https://cnb.cool/junchao.tang/jtv/-/git/raw/main/Pictures/Robot.mp4,其它,0.000,False
20260407043353仅供测试自用如有侵权请通知,https://codeberg.org/alantang/photo/raw/branch/main/Robot.mp4,其它,0.000,False
2026安徽卫视春晚,https://vip.ffzy-online3.com/20260216/42058_c2a79fe3/index.m3u8,卫视 SD（632条） ,0.000,False
2026山东卫视春晚,https://vip.ffzy-online3.com/20260216/42052_1729dfd5/index.m3u8,卫视 SD（632条） ,0.000,False
21,https://www.goodiptv.club/douyu/4290711,其它,0.000,False
21,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000caiv8u3c77uclsl616i0&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname,其它,0.000,False
22,https://www.goodiptv.club/douyu/6027991,其它,0.000,False
22,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000ch3vhqjc77u1uolbon1g&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname,其它,0.000,False
23,https://www.goodiptv.club/douyu/329667,其它,0.000,False
23,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000citu8rvog65k6lms6p9g&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname,其它,0.000,False
24,https://www.goodiptv.club/douyu/7459925,其它,0.000,False
24,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000c45srlbc77u7un1eeoeg&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname,其它,0.000,False
24H地下交通站全,https://live.ottiptv.cc/yy/37880083,其它,0.000,False
24KZ,http://120.70.60.179:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0,其它 4D/超高清（23条） ,0.000,False
24KZ,http://120.70.60.179:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0,其它 4D/超高清（23条） ,0.000,False
24h唐朝诡实录1234,https://live.ottiptv.cc/yy/1353913646,其它,0.000,False
24小时音乐,http://cfss.cc/cdn/dy/11810687.flv,其它,0.000,False
25,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cea4aobc77u40bs4m560&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname,其它,0.000,False
25,https://www.goodiptv.club/douyu/5635000,其它,0.000,False
26,https://www.goodiptv.club/douyu/260322,其它,0.000,False
26,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cdfl5vrc77u84a2ndsog&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname,其它,0.000,False
27,https://www.goodiptv.club/douyu/3928,其它,0.000,False
28,https://www.goodiptv.club/douyu/6911044,其它,0.000,False
28,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cics5f7og65l7400ilo0&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname,其它,0.000,False
29,https://www.goodiptv.club/douyu/10084875,其它,0.000,False
29,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cf4up43c77uaf3l9q61g&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname,其它,0.000,False
3,https://www.goodiptv.club/douyu/3186217,其它,0.000,False
3,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000chhtifrc77u4qbblddbg&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname,其它,0.000,False
30,https://www.goodiptv.club/douyu/6091425,其它,0.000,False
31,https://www.goodiptv.club/douyu/4105989,其它,0.000,False
32,https://www.goodiptv.club/douyu/5522351,其它,0.000,False
326FCT-205,https://t33.cdn2020.com/video/m3u8/2025/12/30/2e0dc0e6/index.m3u8,其它,0.000,False
33,https://www.goodiptv.club/douyu/12128227,其它,0.000,False
34,https://www.goodiptv.club/douyu/12655369,其它,0.000,False
35,https://www.goodiptv.club/douyu/5261342,其它,0.000,False
37,https://www.goodiptv.club/douyu/7812810,其它,0.000,False
38,https://www.goodiptv.club/douyu/12183882,其它,0.000,False
39,https://www.goodiptv.club/douyu/1006179,其它,0.000,False
3D-1视觉效果,https://vd3.bdstatic.com/mda-mfnc43q5ngnzua6p/sc/cae_h264/1624437508830556235/mda-mfnc43q5ngnzua6p.mp4,其它,0.000,False
3D-2视觉效果,https://vd2.bdstatic.com/mda-kfhr50vjwtmttwxc/v1-cae/sc/mda-kfhr50vjwtmttwxc.mp4,其它,0.000,False
3D-3视觉效果,https://vd4.bdstatic.com/mda-mdfijn4crxseyky0/1080p/cae_h264/1618549960/mda-mdfijn4crxseyky0.mp4,其它,0.000,False
3D-4视觉效果,https://vd2.bdstatic.com/mda-kmtfv6y5gctpa35w/sc/mda-kmtfv6y5gctpa35w.mp4,其它,0.000,False
3D-5视觉效果,https://vd3.bdstatic.com/mda-kksk814vwc1m06av/sc/mda-kksk814vwc1m06av.mp4,其它,0.000,False
3D大片频视觉,https://vd2.bdstatic.com/mda-ki2cvyhz79rw40wg/v1-cae/sc/mda-ki2cvyhz79rw40wg.mp4,其它,0.000,False
3D投影-1视觉,https://vd4.bdstatic.com/mda-ncuizu4wfrjswzxp/720p/h264_delogo/1648560283895563574/mda-ncuizu4wfrjswzxp.mp4,其它,0.000,False
3D投影-2视觉,https://vd4.bdstatic.com/mda-ncuiyrw7qj9x5w3z/720p/h264_delogo/1648560203494563586/mda-ncuiyrw7qj9x5w3z.mp4,其它,0.000,False
3D电影频视觉,https://vd3.bdstatic.com/mda-kj0kfvyty9dk9nk0/v1-cae/sc/mda-kj0kfvyty9dk9nk0.mp4,其它 SD（412条） ,0.000,False
3D裸眼-1视觉,https://vd2.bdstatic.com/mda-kka520dkkf8mrujz/sc/mda-kka520dkkf8mrujz.mp4,其它,0.000,False
3D裸眼-2视觉,https://vd4.bdstatic.com/mda-mdfijn4crxseyky0/sc/mda-mdfijn4crxseyky0.mp4,其它,0.000,False
4,https://www.goodiptv.club/douyu/6906628,其它,0.000,False
4 music,https://stream1.freetv.fun/4music-2.m3u8,其它 SD（412条）,0.000,False
40,https://www.goodiptv.club/douyu/9559158,其它,0.000,False
41,https://www.goodiptv.club/douyu/11931032,其它,0.000,False
42,https://www.goodiptv.club/douyu/7642724,其它,0.000,False
43,https://www.goodiptv.club/douyu/2793084,其它,0.000,False
44,https://www.goodiptv.club/douyu/1174353,其它,0.000,False
45,https://www.goodiptv.club/douyu/17732,其它,0.000,False
46,https://www.goodiptv.club/douyu/12253936,其它,0.000,False
47,https://www.goodiptv.club/douyu/12534632,其它,0.000,False
48,https://www.goodiptv.club/douyu/4258555,其它,0.000,False
49,https://www.goodiptv.club/douyu/4332,其它,0.000,False
4K乐享,http://171.213.234.216:8089/rtp/239.93.0.43:5140,4K频道,0.000,False
4K南国都市频道,https://xatv-yt.xiancity.cn/live/2/index.m3u8$IPV4•线路2,其它,0.000,False
4K超清,http://114.241.107.197:85/tsfile/live/21/1021_1.m3u8?key=txiptv,其它 4D/超高清（23条） ,0.000,False
4K超高清,http://115.29.208.41:34567/gd.php?id=16,其它 4D/超高清（23条） ,0.000,False
4_1 GOOD TV,http://nctcpc.com:38981/stream/channelid/1032208444?ticket=8de61e8a87491b2960c8d55aa988b8512f7d79e3&profile=pass,其它,0.000,False
4k超清车载劲爆,https://vd2.bdstatic.com/mda-ncg1mhvhiy7fkgzs/sc/cae_h264_delogo/1647481028509277070/mda-ncg1mhvhiy7fkgzs.mp4,其它 4D/超高清（23条） ,0.000,False
5,https://www.goodiptv.club/douyu/12080172,其它,0.000,False
5,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cdqa4ibc77u9qo3e6kcg&ratio=720p&line=0&logo_name=aweme_search_suffix_nickname,其它,0.000,False
50,https://www.goodiptv.club/douyu/1274132,其它,0.000,False
51,https://www.goodiptv.club/douyu/9588891,其它,0.000,False
52,https://www.goodiptv.club/douyu/9242659,其它,0.000,False
53,https://www.goodiptv.club/douyu/4373285,其它,0.000,False
54,https://www.goodiptv.club/douyu/3113309,其它,0.000,False
55,https://www.goodiptv.club/douyu/8912325,其它,0.000,False
56,https://www.goodiptv.club/douyu/7356023,其它,0.000,False
57,https://www.goodiptv.club/douyu/9067836,其它,0.000,False
58,https://www.goodiptv.club/douyu/9285904,其它,0.000,False
59,https://www.goodiptv.club/douyu/997925,其它,0.000,False
5GO服饰内衣 4M1080,http://221.194.141.41:2380/ywotttv.bj.chinamobile.com/TVOD/88888888/224/3221226388/1.m3u8,其它,0.000,False
5GO美妆个护 4M1080,http://221.194.141.41:2380/ywotttv.bj.chinamobile.com/TVOD/88888888/224/3221226387/1.m3u8,其它,0.000,False
5GO美妆个护 4M1080,http://221.194.141.41:2380/ywotttv.bj.chinamobile.com/TVOD/88888888/224/3221226389/1.m3u8,其它,0.000,False
6,https://www.goodiptv.club/douyu/8009547,其它,0.000,False
